settled_at,side,net_usdc,client_pnl_usdc,commission_usdc,bet_id,event_title,settlement_tx_hash
2026-05-24T21:22:20.134Z,LAY,-124.923077,-124.923077,0,cmpivihlp015bhux9whcm6eof,"SSC Napoli vs. Udinese Calcio",0x87dd2c292bbcaf43f76df386ee300044b68c433b8f7f4e8e46012cac061d6b5c
2026-05-24T19:47:49.769Z,LAY,41.16,42,0.84,cmpjgwa3y038bhux9ierfaqt2,"Crystal Palace FC vs. Arsenal FC",0x93ff6b9854ea9b1dd09f2e37dcfb600f630c19bd0bfeec200a4294ce2341c099
2026-05-24T19:47:34.787Z,LAY,-465.111111,-465.111111,0,cmpiuqan200yihux91dpo97zx,"Manchester City FC vs. Aston Villa FC",0xddf7243917d6a8731cec3f41178dbfa2b441ea4891d429ad1fc5e6839e9067eb
2026-05-24T19:22:46.989Z,LAY,3789.66,3867,77.34,cmpjdt4gk02vvhux9uuhtllxk,"Brighton & Hove Albion FC vs. Manchester United FC",0x06e9cf099c6e005e11b8034b69e5ed8d5a1115c5a1f8e915e8ffa1c5ab91578c
2026-05-22T23:58:16.695Z,LAY,76.44,78,1.56,cmpgm6rd205s2hul8a8lbp9wf,"Valencia vs. Real Madrid",0xdf50ebd2be7eea3275cf617a6eba3fbd565de995b420704c93d652df5fcd1048
2026-05-22T23:58:16.729Z,LAY,24.934341,25.443205,0.508864,cmpgm5owy05qvhul8ya5091p7,"Valencia vs. Real Madrid",0xdf50ebd2be7eea3275cf617a6eba3fbd565de995b420704c93d652df5fcd1048
2026-05-22T23:58:16.736Z,LAY,121.512923,123.992779,2.479856,cmpglxxez05pbhul8jipborxr,"Valencia vs. Real Madrid",0xdf50ebd2be7eea3275cf617a6eba3fbd565de995b420704c93d652df5fcd1048
2026-05-22T23:28:20.094Z,LAY,-131.0625,-131.0625,0,cmpgl5lwm05omhul80xpm9r3b,"Racing Club de Lens vs. OGC Nice",0x99b2fde0aa98f1654b8f354c2786e2888c72711f86828c1d56aac0f7e923cb05
2026-05-19T22:51:13.539Z,LAY,4466.84,4558,91.16,cmpcno1z200fghumt7vsh1b5h,"AFC Bournemouth vs. Manchester City FC",0xb201a11a44c09e88d193c1b7d090179b8662e0ffb8ccd9f2cb759cf6869e15d0
2026-05-18T22:14:32.332Z,LAY,-76.636364,-76.636364,0,cmpbga4ny014chu7ufafa5txn,"Arsenal FC vs. Burnley FC",0x5a66d3a5d31cae18ebb072db8f46454a6d79dfd29a5ea51c858607a4cd4419d1
2026-05-12T22:43:59.993Z,LAY,38.906,39.7,0.794,cmp0zv9a002bxhu5htuo13dpc,"Real Betis Balompié vs. Elche CF",0x84c9f8a59b1bacb27a70abe75377b25153f5bef6bce18487e04a75df3adb90d0
2026-05-12T01:13:08.805Z,LAY,2271.0324,2317.38,46.3476,cmp1ilnmz00nrhu7y6hoj8icl,"SSC Napoli vs. Bologna FC 1909",0x2a151f4ed79de6f04ad96998e0679789f5d6b7c357f6aff1c84d7d7b17307e8f
2026-05-10T22:46:09.680Z,LAY,2479.4,2530,50.6,cmp002z1e00fnhuczev44dt1k,"1. FSV Mainz 05 vs. 1. FC Union Berlin",0x3d3256cb4b1fea21f6a65b78c07cfb14a3e4c5ef9cb22fbad590c0b69d639d9b
2026-05-05T00:36:08.507Z,LAY,89.1425,90.5,1.3575,cmopur4xy05lwhu8oh151zr3v,"Everton FC vs. Manchester City FC",0x42ccb27dd92b70c60954302a4856b2112d44851bb479643e30d8a0254cc33418
